,,,,
Name,Date,Height,Location,Sick?
Justice R.,Janua 17,5’ 6.75”,home,TRUE
Jacquereh C.,1/18/2014,70,school,yes
Manuel,January 19th,6 feet 1 inch,at home,yes
Justice,2/ 3/2014,"67""",at home,n
Elizabeth M.,F eb 8,"64""",school,no
Tess,F e b  14,"86""",at school,F
Mira,21/2/ 2014,NaN,h,”””false"""
,,,,
Manuel A.,2/19/2014,73.5,school,sick
Jacquereh,Ma r ch 3,5' 10,home,not sick
Justice R.,3/11/,67,school,yes
TEssa,A 21,"5' 8""",doctor office,y
Liz,Apr il 26,"5' 4""",doctor,y
Kira,4/29/2014,"70.5""",home,n
Manny,M ay 6,"6' 1.5""",doctor,not
Tess G.,5/232014,5-8.5,home,yes
Jaquereh J.,6/19/2014,NaN,at home,y
Tes G.,"""June 21""",68.5,doctor,T
ElizabethM.,Jul y 2 3,64.5 inches,at school,no
 Mira P,Au gust 23,411,doctor’s office,yes
Manuel,??,6',school,maybe
