name_s,nces_id_s
Amazon,270043004959
Amazon,20073000342
Amazon,20009000038
Amazon,20066000570
Amazon,20051000720
Amazon,10192001752
Amazon,10009000011
Amazon,10018000033
Amazon,10102000377
Amazon,10129000465
Amazon,10000600878
Amazon,10141000511
Amazon,10153000528
Amazon,10201000765
Amazon,10171002162
Amazon,10183000662
Amazon,10267001735
Amazon,10243001036
Amazon,10255001064
Amazon,10258001070
Amazon,10270001088
Amazon,10159001869
Amazon,10210000808
Amazon,10102000385
Amazon,50315000080
Amazon,50550000262
Amazon,51404001147
Amazon,50784000498
Amazon,50828000551
Amazon,50951000694
Amazon,51185001559
Amazon,50861000574
Amazon,51197001586
Amazon,51296001055
Amazon,51341001103
Amazon,40141002786
Amazon,40852002416
Amazon,40141002137
Amazon,40045001884
Amazon,40633001882
Amazon,40503001077
Amazon,40082203221
Amazon,40593003216
Amazon,40633002138
Amazon,40345000283
Amazon,40292002972
Amazon,40463000370
Amazon,40880001448
Amazon,62664012535
Amazon,60001708297
Amazon,61954002345
Amazon,62271002844
Amazon,62547003790
Amazon,62964004602
Amazon,60582000524
Amazon,62160002573
Amazon,61476001809
Amazon,62271002899
Amazon,60162000014
Amazon,60846009757
Amazon,60855000852
Amazon,63864006477
Amazon,63462005798
Amazon,60903007959
Amazon,60985004959
Amazon,60985011709
Amazon,61623002028
Amazon,61623002018
Amazon,61212001363
Amazon,61291001465
Amazon,61291001466
Amazon,61291001467
Amazon,63963006597
Amazon,61336010429
Amazon,61392010301
Amazon,61392001589
Amazon,61455007963
Amazon,61455001711
Amazon,61455008841
Amazon,61455010779
Amazon,61488001844
Amazon,62271003050
Amazon,63117004821
Amazon,61668011295
Amazon,61692012024
Amazon,61692002154
Amazon,62271010871
Amazon,62271013173
Amazon,61949008866
Amazon,61983002383
Amazon,61623002023
Amazon,63261005074
Amazon,60002712094
Amazon,62271003037
Amazon,62271012524
Amazon,62271010861
Amazon,62271003444
Amazon,62271003106
Amazon,62271012657
Amazon,62271002998
Amazon,62271003064
Amazon,62271010851
Amazon,60002200395
Amazon,63021004992
Amazon,62580009404
Amazon,62664004022
Amazon,60011607170
Amazon,60016010541
Amazon,62805012041
Amazon,62805008676
Amazon,62805004304
Amazon,62805013155
Amazon,62927004520
Amazon,63066004773
Amazon,63132007136
Amazon,63132004841
Amazon,63117004825
Amazon,63117007601
Amazon,60816010605
Amazon,62271003301
Amazon,63237011103
Amazon,63315008268
Amazon,63315005131
Amazon,63375005204
Amazon,63384005226
Amazon,63432005482
Amazon,63432011146
Amazon,63432010056
Amazon,60561000514
Amazon,62271003325
Amazon,63441007845
Amazon,63441005643
Amazon,63459005696
Amazon,61182001301
Amazon,63471011893
Amazon,62271003330
Amazon,63543006055
Amazon,63583006128
Amazon,63705008225
Amazon,62223011341
Amazon,60002807222
Amazon,62271003029
Amazon,62271010865
Amazon,62271003146
Amazon,64098006768
Amazon,62865004456
Amazon,64158006857
Amazon,64271006978
Amazon,80207000027
Amazon,80291001272
Amazon,80270000164
Amazon,80279000172
Amazon,80309000840
Amazon,80336000305
Amazon,80336001833
Amazon,80336006448
Amazon,80441000640
Amazon,80441001788
Amazon,80333000300
Amazon,80630001415
Amazon,80336001724
Amazon,90231000424
Amazon,90240000441
Amazon,90264000505
Amazon,90000201672
Amazon,110003400249
Amazon,110003100421
Amazon,100108000111
Amazon,120114001197
Amazon,120108002565
Amazon,120078002663
Amazon,120015002977
Amazon,120045000626
Amazon,120018000234
Amazon,120018002120
Amazon,120192001986
Amazon,120198002025
Amazon,120159003016
Amazon,120162004140
Amazon,120108001150
Amazon,120198002022
Amazon,120003000027
Amazon,120087000945
Amazon,120006000035
Amazon,120156001605
Amazon,120147004013
Amazon,120162001802
Amazon,120048000681
Amazon,120048002745
