heading_s,short_heading_s,image_url_s,link_text_s,url_s
"Google celebrates the Hour of Code 2013 with this tribute to Grace Hopper, one of the very first computer programmers.",Hour of Code Google Doodle,google-doodle.png,See on Twitter,https://twitter.com/codeorg/status/410054065737854976
"Celebrities from all walks of life, including Ashton Kutcher, Shakira, Mark Zuckerberg, Angela Bassett, Dwight Howard, are more, kick off the 2013 campaign.",The Hour of Code is here,video-hoc.png,Watch the video,https://youtu.be/FC5FbmsH4fw
"Nobel Peace Prize winner Malala Yousafzai challenges girls in every country to get involved. ""Every girl deserves to take part in creating the technology that'll change our world, and change who runs it."" ",Malala challenges girls to do the Hour of Code,video-malala.png,Watch the video,https://youtu.be/cFdncBMDtP8
"For the second year in a row, President Obama kicks off Computer Science Education Week by asking students to learn an Hour of Code.",President Obama's message to students,video-obama-message.png,Watch the video,https://youtu.be/6XvmhE1J9PY
"Eddy Cue, Apple’s SVP of Internet Software and Services: “Education is part of Apple’s DNA and we believe this is a great way to inspire kids to discover technology.”",Apple supports the Hour of Code worldwide,apple-site.png,Read more,http://blog.code.org/post/104341574918/apple
,TIME: Frozen’s Anna and Elsa ‘Let It Code’ to Close the Tech Gender Gap,news-time-frozen.png,Read on TIME,http://time.com/3595217/frozen-anna-elsa-let-it-code-tech-gender-gap/
"President Obama is the first president to write a line of code, hosting a historic Hour of Code for students at the White House.",Coder in Chief,obama-fistbump.jpg,Watch the video,https://youtu.be/AI_dayIQWV4
"Senator Cory Booker meets with students from Newark, New Jersey and inspires them to keep learning skills that'll prepare them for 21st-century futures.",Epic Hour of Code selfie with Cory Booker,booker-selfie.jpg,,
"Pro basketball legend Dikembe Mutombo does the Hour of Code with students in Brooklyn, New York. ",The NBA joins in,nba.jpg,Share on Facebook,https://www.facebook.com/Code.org/photos/a.713452212084418.1073741855.309754825787494/715488511880788/
"The Hour of Code 2015 kicks off with a brand new video, and an effort to reach the most international participation yet.",Calling all teachers — worldwide,video-worldwide.png,Watch the video,
NFL player Earl Thomas joins Washington Governor Jay Inslee and middle school students for an Hour of Code. ,An Hour of Code with a Seahawk,seahawks.png,See on Instagram,https://www.instagram.com/p/2J88hRtu_c/
"Code.org, Disney and Star Wars launch Hour of Code ""build-your-own-game"" tutorial to broaden computer science participation. The lesson features Leia and Rey from Star Wars: The Force Awakens.",Hour of Code features Star Wars: The Force Awakens,star-wars.png,Read more,https://code.org/star-wars-announcement
,Wired: Star Wars Characters Will Now Teach Your Kids To Code,news-wired-star-wars.png,Read on Wired,http://www.wired.com/2015/11/star-wars-characters-will-now-teach-your-kids-to-code/
Microsoft and Code.org team up for “Minecraft” Hour of Code tutorial that aims to introduce millions of youth to the creativity of computer science,"""Minecraft"" joins the Hour of Code",minecraft.png,Read more,https://code.org/mc-announcement
"Sheryl Sandberg, Karlie Kloss, Jessica Alba, and inspiring women in tech star.",Inspire a girl,video-girl.png,Watch the video,https://youtu.be/mFPg96gdPkc
,Twitter emoji ,,,
,Snapchat filter,,,
,Ingrid Nilsen,,,
,Disney Glendale kickoff event,,,
,Nadella gives Seattle kids a hand with coding,,,http://www.seattletimes.com/business/microsoft/microsofts-nadella-gives-seattle-kids-a-hand-with-coding/
,Hadi speaking at Apple Store NYC,,,
,Luna speaking at Apple Store NYC,,,
,Hour of Code takes over Times Square,,,
,Nambia quote + map image ,,,
,Hour of Code rings the NASDAQ market opening bell,,,http://business.nasdaq.com/discover/market-bell-ceremonies/detail.html#!/!?ceremonyId=4987
,David Cameron,,,
,"Tim Cook crashes Hour of Code, calls for fundamental changes in education",,,http://mashable.com/2015/12/09/tim-cook-hour-of-code/#Y.Oekf_a18qx
Dona's quote,Dona Sarkar Nasdaq photo,,,
,Minecraft girl reaction video,,,
,Brooklyn vs. Chicago challenge,,,
,TIME: Microsoft Is Doing Something Really Smart With Minecraft,,,http://time.com/4116041/minecraft-hour-code-coding/
,Nickelodeon Q&A video,,,
"Infosys Foundation Chairperson and Code.org Board Member Vandana Sikka helps students from Bronx, NY complete their Hour of Code tutorial at the Hour of Code Kickoff Pep Rally",Pair programming in action,kickoff-vandana.jpg,,
"Google ____ of Education Maggie Johnson moderated a panel where Four students from around New York City spoke about how they got into computer science, and shared their advice for both their classmates and leading tech companies.   ",Students share their learn-to-code journeys,kickoff-student-panel.jpg,,
"The Hour of Code 2015 kicks off with a pep rally in New York City, hosted by Code.org, Microsoft, and Google (with a very special appearance by R2-D2 from Star Wars and more) ",Hour of Code 2015 kicks off,kickoff-certificates.jpg,,
,Aloe Blacc tech chat,,,
,Kevin Systrom tech chat,,,
,Dao Ngyuen tech chat,,,
,Bill Gates tweet,,,
,Ashton tweet,,,
,Google homepage link,,,
,Seahawk Luke Wilson,,,
,Megan Smith visited school,,,
,Enrique Iglesies Instagram video,,,
,Oakland event and new partnership,,,
,$10K winning school - good photo,,,
,"Student quote: ""I loved it wholly""",,,
,HOC 2015 sizzle reel ,,,
,Hour of Code impact blog post,,,
,Lucasfilm tour - grand prize,,,
